surface,kind,theta_in,theta_out,brdf,beta,weight,samples,params_json
flat_musou,"flat plate, its own Musou coating",40.0,10.0,0.002469941972300529,0.0077595515549724265,0.05344915270816772,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",40.0,20.0,0.0024431802795828756,0.007675477217733019,0.11848238259023353,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",40.0,30.0,0.0024356202118789804,0.00765172656457382,0.06286794684681445,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",40.0,40.0,0.00247296348362491,0.00776904391275184,0.033179223186677424,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",50.0,0.0,0.002480371151091637,0.007792315786445545,0.0065355076348754095,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",50.0,10.0,0.0024465831301966026,0.007686167588222367,0.03338469265784898,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",50.0,20.0,0.0024325552933202204,0.007642097838945769,0.05561144080565327,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",50.0,30.0,0.002428605643071648,0.007629689646740604,0.0423335308913596,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",50.0,40.0,0.0024557456705994237,0.00771495255784009,0.017484629857040627,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",50.0,50.0,0.0025425449729020227,0.007987640608290655,0.0012614910466040863,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",60.0,0.0,0.0024564710752397307,0.007717231483728958,0.0003101062304818472,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",60.0,10.0,0.002437028319636591,0.007656150265560592,0.0026107146470065244,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",60.0,20.0,0.002428158584978872,0.007628285172320611,0.009070420549818088,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",60.0,30.0,0.0024259279596153356,0.007621277456065614,0.020643217980652304,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",60.0,40.0,0.002450659470161224,0.007698973787908757,0.027664518789582617,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",60.0,50.0,0.002537852602420066,0.007972899091656617,0.014891768708549939,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",60.0,60.0,0.0025475973603443602,0.008003513151562591,0.001310197086328678,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",70.0,30.0,0.00242701313159518,0.007624686624385375,0.00016770928864145665,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",70.0,40.0,0.0024586066443098827,0.007723940571830981,0.0012836314650343998,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",70.0,50.0,0.0025811817970024854,0.008109021771042708,0.008244533197795913,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",70.0,60.0,0.0026057439176058257,0.00818618594868675,0.010905238817076307,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",70.0,70.0,0.0027020551235440713,0.008488756525720715,0.0010354765094735961,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
black_velour,"black velour (Lambertian model, rho 0.002)",20.0,0.0,0.0006366197203352098,0.001999999836535484,0.000169119275521003,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
black_velour,"black velour (Lambertian model, rho 0.002)",20.0,10.0,0.0006366196583919105,0.0019999996419348695,0.005185244746805636,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
