tag,source,family,topology,seed,diffuse_frac,theta,rho,control,pub_worst,pub_worst_mat,params_json
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d00,-40.0,0.0004313514509703964,0.049719568341970444,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d00,40.0,0.0004338577564340085,0.04971839487552643,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d76,0.0,0.0006162782083265483,0.0497635081410408,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d76,-20.0,0.0010518430499359965,0.04971447214484215,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d76,20.0,0.001044755452312529,0.0497225858271122,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d76,-40.0,0.0017907958244904876,0.04971007630228996,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d76,40.0,0.001777422847226262,0.04970714449882507,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d100,0.0,0.00035733694676309824,0.04976140335202217,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d100,-20.0,0.001255986513569951,0.04971151426434517,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
AZ_comb_p00_s23,sweep_azimuth.csv,topo,comb,23,d100,20.0,0.0012439190177246928,0.04971959441900253,0.0022275468800216913,d100,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08, ""winding"": ""out""}"
