tag,family,topology,shape,pitch,open_frac,wall,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d100,40.0,0.002884731162339449,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d00,0.0,0.0028309838380664587,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d00,-20.0,0.0022379704751074314,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d00,20.0,0.0022526318207383156,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d00,-40.0,0.001984346192330122,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d00,40.0,0.001847335253842175,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d76,0.0,0.002049276838079095,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d76,-20.0,0.0022672167979180813,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d76,20.0,0.002223488176241517,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d76,-40.0,0.0025384295731782913,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
