tag,family,topology,feature,seed,diffuse_frac,pitch,depth,aspect,exposed_est,theta,rho,control,params_json
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,20.0,0.0017693476984277368,0.04998340085148811,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,40.0,0.002293564844876528,0.04998878762125969,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,0.0,0.0018385492730885744,0.04998723417520523,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,-20.0,0.0020414981991052628,0.04998402297496796,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,-40.0,0.0027264789678156376,0.04998910054564476,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,20.0,0.002036439022049308,0.04998340085148811,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,40.0,0.0027069980278611183,0.04998878762125969,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d050_t02_s23,topo,shingle,0.2,23,d00,3.75,50.0,13.333333333333334,0.0708216330205941,0.0,0.0016008075326681137,0.04992242157459259,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d050_t02_s23,topo,shingle,0.2,23,d00,3.75,50.0,13.333333333333334,0.0708216330205941,-20.0,0.0009476444101892412,0.049909479916095734,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d050_t02_s23,topo,shingle,0.2,23,d00,3.75,50.0,13.333333333333334,0.0708216330205941,-40.0,0.0009442468290217221,0.04992660507559776,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
