tag,family,theta,rho,ratio,control,depth_mm,pitch_mm,tip_mm,tip_fraction,aspect
F_gr_d30_p375_t02,ridge,30.0,0.0002366125991102308,0.004732271303681094,0.049999795854091644,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,40.0,0.0002645979111548513,0.0052919798298176135,0.049999795854091644,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,50.0,0.000313199037918821,0.0062640058670949674,0.04999979957938194,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,60.0,0.0004149034502916038,0.008298103504566516,0.049999792128801346,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,70.0,0.0006529131205752492,0.0130583157275395,0.049999795854091644,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,80.0,0.0015620456542819738,0.031241038312603622,0.04999979957938194,30.0,3.75,0.2,0.05333333333333334,8.0
F_co_d30_p75_t04,cone3d,-80.0,0.0020867041312158108,0.04202625426502666,0.04965239390730858,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,-70.0,0.0005924145807512105,0.011949344431972665,0.04957716166973114,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,-60.0,0.00020105933072045445,0.004052328601514255,0.04961575195193291,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,-50.0,0.00011954284855164587,0.0024088194732769207,0.0496271513402462,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,-40.0,9.320878598373383e-05,0.001876089101107386,0.04968249425292015,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,-30.0,8.205224730772898e-05,0.0016514318185183645,0.0496855191886425,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,-20.0,7.775127596687526e-05,0.0015650663678051576,0.0496792197227478,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,-10.0,8.318454638356343e-05,0.001673694583232864,0.04970115050673485,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,0.0,8.797573536867276e-05,0.0017719229723879828,0.04964986443519592,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,10.0,8.597285341238603e-05,0.0017298090072342955,0.049700777977705,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,20.0,7.837645534891635e-05,0.001577668082253579,0.04967867210507393,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,30.0,8.191070810426027e-05,0.0016485293501584594,0.04968713968992233,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,40.0,9.28270528675057e-05,0.0018684099909800254,0.0496823787689209,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,50.0,0.00011884549894602969,0.0023914102738469417,0.049696825444698334,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,60.0,0.00019724515732377768,0.003972055097421047,0.049658212810754776,30.0,7.5,0.8,0.010318503049865774,4.0
