tag,diffuse_frac,power,bulge,lip,pitch,depth,aspect,seal_frac,theta,rho,control
P050_B00_L00_p0550_d40,d100,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,0.0,0.0020981072448194027,0.0498480461537838
P050_B00_L00_p0550_d40,d100,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,-20.0,0.0024194468278437853,0.04983426257967949
P050_B00_L00_p0550_d40,d100,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,-40.0,0.003118839580565691,0.049835242331027985
P050_B00_L00_p0550_d40,d100,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,20.0,0.002324312925338745,0.04983724281191826
P050_B00_L00_p0550_d40,d100,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,40.0,0.0030575513374060392,0.04982924833893776
P050_B00_L00_p0550_d50,d00,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,0.0,0.0022832241374999285,0.049849942326545715
P050_B00_L00_p0550_d50,d00,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,-20.0,0.002123709535226226,0.049845799803733826
P050_B00_L00_p0550_d50,d00,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,-40.0,0.0028241907712072134,0.050009194761514664
P050_B00_L00_p0550_d50,d00,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,20.0,0.0020847669802606106,0.049847934395074844
P050_B00_L00_p0550_d50,d00,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,40.0,0.0027789243031293154,0.049999602138996124
P050_B00_L00_p0550_d50,d76,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,0.0,0.0017810050630941987,0.049844708293676376
P050_B00_L00_p0550_d50,d76,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,-20.0,0.001995934871956706,0.04983938857913017
P050_B00_L00_p0550_d50,d76,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,-40.0,0.0027396671939641237,0.0498715341091156
P050_B00_L00_p0550_d50,d76,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,20.0,0.0019884223584085703,0.04984091967344284
P050_B00_L00_p0550_d50,d76,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,40.0,0.0026738534215837717,0.04987545683979988
P050_B00_L00_p0550_d50,d100,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,0.0,0.0017937528900802135,0.04984303191304207
P050_B00_L00_p0550_d50,d100,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,-20.0,0.0021592455450445414,0.049837373197078705
P050_B00_L00_p0550_d50,d100,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,-40.0,0.002908861730247736,0.049828626215457916
P050_B00_L00_p0550_d50,d100,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,20.0,0.0021378465462476015,0.04983898252248764
