tag,material,power,bulge,pitch,depth,aspect,theta,rho,control
P015_B00_p0750_d50,fresnel,0.15,0.0,7.5,50.0,6.666666666666667,-40.0,0.0032206159085035324,0.04992735758423805
P015_B00_p0750_d50,fresnel,0.15,0.0,7.5,50.0,6.666666666666667,20.0,0.0026941397227346897,0.04989831894636154
P015_B00_p0750_d50,fresnel,0.15,0.0,7.5,50.0,6.666666666666667,40.0,0.0031783131416887045,0.04992636293172836
P015_B00_p1100_d20,glossy,0.15,0.0,11.0,20.0,1.8181818181818181,0.0,0.0015197439352050424,0.0499701052904129
P015_B00_p1100_d20,glossy,0.15,0.0,11.0,20.0,1.8181818181818181,-20.0,0.0020418171770870686,0.04996679723262787
P015_B00_p1100_d20,glossy,0.15,0.0,11.0,20.0,1.8181818181818181,-40.0,0.00299600837752223,0.049969032406806946
P015_B00_p1100_d20,glossy,0.15,0.0,11.0,20.0,1.8181818181818181,20.0,0.002008919371291995,0.0499669648706913
P015_B00_p1100_d20,glossy,0.15,0.0,11.0,20.0,1.8181818181818181,40.0,0.003080987371504307,0.0499681793153286
P015_B00_p1100_d20,fresnel,0.15,0.0,11.0,20.0,1.8181818181818181,0.0,0.02612021379172802,0.049972161650657654
P015_B00_p1100_d20,fresnel,0.15,0.0,11.0,20.0,1.8181818181818181,-20.0,0.01309188548475504,0.04996922239661217
P015_B00_p1100_d20,fresnel,0.15,0.0,11.0,20.0,1.8181818181818181,-40.0,0.015312555246055126,0.04997764527797699
P015_B00_p1100_d20,fresnel,0.15,0.0,11.0,20.0,1.8181818181818181,20.0,0.012567893601953983,0.049969382584095
P015_B00_p1100_d20,fresnel,0.15,0.0,11.0,20.0,1.8181818181818181,40.0,0.015006251633167267,0.049977660179138184
P015_B00_p1100_d30,glossy,0.15,0.0,11.0,30.0,2.727272727272727,0.0,0.0001790760870790109,0.04994649440050125
P015_B00_p1100_d30,glossy,0.15,0.0,11.0,30.0,2.727272727272727,-20.0,0.0004290781798772514,0.04994712397456169
P015_B00_p1100_d30,glossy,0.15,0.0,11.0,30.0,2.727272727272727,-40.0,0.0016490358393639326,0.04994208365678787
P015_B00_p1100_d30,glossy,0.15,0.0,11.0,30.0,2.727272727272727,20.0,0.0003858650161419064,0.04995006322860718
P015_B00_p1100_d30,glossy,0.15,0.0,11.0,30.0,2.727272727272727,40.0,0.0016281985444948077,0.049943506717681885
P015_B00_p1100_d30,fresnel,0.15,0.0,11.0,30.0,2.727272727272727,0.0,0.007163575850427151,0.04995031654834747
P015_B00_p1100_d30,fresnel,0.15,0.0,11.0,30.0,2.727272727272727,-20.0,0.0072394167073071,0.04995104670524597
P015_B00_p1100_d30,fresnel,0.15,0.0,11.0,30.0,2.727272727272727,-40.0,0.0080264275893569,0.0499594509601593
P015_B00_p1100_d30,fresnel,0.15,0.0,11.0,30.0,2.727272727272727,20.0,0.00683599105104804,0.04995376616716385
P015_B00_p1100_d30,fresnel,0.15,0.0,11.0,30.0,2.727272727272727,40.0,0.007636582478880882,0.0499601773917675
P015_B00_p1100_d40,glossy,0.15,0.0,11.0,40.0,3.6363636363636362,0.0,8.765602251514792e-05,0.04995333403348923
P015_B00_p1100_d40,glossy,0.15,0.0,11.0,40.0,3.6363636363636362,-20.0,0.0001272998924832791,0.04995153099298477
P015_B00_p1100_d40,glossy,0.15,0.0,11.0,40.0,3.6363636363636362,-40.0,0.0006168073741719127,0.04994847625494003
P015_B00_p1100_d40,glossy,0.15,0.0,11.0,40.0,3.6363636363636362,20.0,0.0001321610907325521,0.04995178431272507
P015_B00_p1100_d40,glossy,0.15,0.0,11.0,40.0,3.6363636363636362,40.0,0.000654956791549921,0.04994923248887062
P015_B00_p1100_d40,fresnel,0.15,0.0,11.0,40.0,3.6363636363636362,0.0,0.004855862818658352,0.04995641112327576
P015_B00_p1100_d40,fresnel,0.15,0.0,11.0,40.0,3.6363636363636362,-20.0,0.005348217207938433,0.049954719841480255
P015_B00_p1100_d40,fresnel,0.15,0.0,11.0,40.0,3.6363636363636362,-40.0,0.005646877456456423,0.04996331036090851
P015_B00_p1100_d40,fresnel,0.15,0.0,11.0,40.0,3.6363636363636362,20.0,0.005468463059514761,0.04995543137192726
