tag,cells,panel,seed,pitch,depth,wall,paint_frac,paint_mm,shallow,deep,aspect,tip_frac,samples,theta,rho,rho_at60,params_json
RR_p06.5_d64.0_w0.03_f015_s23,25.0,162.5,23,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,-40.0,0.0016411951510235667,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s23,25.0,162.5,23,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,20.0,0.0011245000641793013,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s23,25.0,162.5,23,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,40.0,0.0016227082815021276,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s101,25.0,162.5,101,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,0.0,0.0003531083057168871,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s101,25.0,162.5,101,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,-20.0,0.0011394335888326168,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s101,25.0,162.5,101,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,-40.0,0.0016484634252265096,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s101,25.0,162.5,101,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,20.0,0.0011361113283783197,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s101,25.0,162.5,101,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,40.0,0.0016364672919735312,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s102,25.0,162.5,102,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,0.0,0.0003529199748300016,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s102,25.0,162.5,102,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,-20.0,0.0011377336923033,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
