tag,family,topology,process,feature,seed,diffuse_frac,phi,pitch,depth,theta,rho,control,params_json
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d76,30.0,5.5,50.0,0.0,0.0010216361843049526,0.049949754029512405,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d76,30.0,5.5,50.0,-20.0,0.001308149192482233,0.04994014650583267,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d76,30.0,5.5,50.0,-40.0,0.0018505464540794492,0.04995496943593025,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d76,30.0,5.5,50.0,20.0,0.0013445185031741858,0.04994362220168114,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d76,30.0,5.5,50.0,40.0,0.0018726162379607558,0.04995417594909668,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d100,30.0,5.5,50.0,0.0,0.0008851061575114727,0.04994930326938629,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d100,30.0,5.5,50.0,-20.0,0.001410562894307077,0.04993923753499985,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d100,30.0,5.5,50.0,-40.0,0.0019854793790727854,0.049941156059503555,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d100,30.0,5.5,50.0,20.0,0.00142502726521343,0.04994267597794533,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p30_s23,cone3d,cone,n/a,,23,d100,30.0,5.5,50.0,40.0,0.0019889625255018473,0.04994022473692894,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p45_s23,cone3d,cone,n/a,,23,d00,45.0,5.5,50.0,0.0,0.0018216465832665563,0.04985911771655083,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p45_s23,cone3d,cone,n/a,,23,d00,45.0,5.5,50.0,-20.0,0.0013961824588477612,0.04984711855649948,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p45_s23,cone3d,cone,n/a,,23,d00,45.0,5.5,50.0,-40.0,0.002173987217247486,0.04999784380197525,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p45_s23,cone3d,cone,n/a,,23,d00,45.0,5.5,50.0,20.0,0.0013762618182227015,0.04984399676322937,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p45_s23,cone3d,cone,n/a,,23,d00,45.0,5.5,50.0,40.0,0.00211350223980844,0.04999934881925583,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
