tag,family,topology,depth,pitch,aspect,seed,diffuse_frac,theta,rho,control,params_json
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d76,40.0,0.0009645032696425915,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d100,0.0,0.00039246026426553726,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d100,-20.0,0.0009180860361084342,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d100,20.0,0.0009126547956839204,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d100,-40.0,0.0011021581012755632,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d100,40.0,0.0010992672760039568,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d00,0.0,0.0008693506824783981,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d00,-20.0,0.0005426364950835705,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d00,20.0,0.0005437607760541141,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d00,-40.0,0.0005236054421402514,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d00,40.0,0.0005446324939839542,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d76,0.0,0.0004364154883660376,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
