tag,family,topology,wall_top,seed,diffuse_frac,theta,rho,control,params_json
P7_box_taper,stack,box,0.5,23,d76,20.0,0.000991587876342237,0.04960612207651138,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d76,-40.0,0.0016409344971179962,0.04959561303257942,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d76,40.0,0.0017129715997725725,0.049595367163419724,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d100,0.0,0.0002726590319070965,0.04962649568915367,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d100,-20.0,0.001145067042671144,0.04961355775594711,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d100,20.0,0.0011940260883420706,0.049602050334215164,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d100,-40.0,0.0020738719031214714,0.04959111288189888,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d100,40.0,0.0021623740904033184,0.049591176211833954,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P72_boxtex,stack,box_textured_walls_surrogate,0.5,23,d00,0.0,0.00012495796545408666,0.04957800731062889,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""surrogate_wall_body"": 0.0021, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P72_boxtex,stack,box_textured_walls_surrogate,0.5,23,d00,-20.0,0.0002451693871989846,0.04956238344311714,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""surrogate_wall_body"": 0.0021, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
