tag,family,topology,shape,pitch,open_frac,wall,nu,nv,hole_mm,hole_aspect,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d00,20.0,0.0012905508046969771,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d00,-40.0,0.0016995274927467108,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d00,40.0,0.001726133981719613,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d76,0.0,0.001356523367576301,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d76,-20.0,0.0017172519583255053,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d76,20.0,0.0016472622519358993,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d76,-40.0,0.0023239669390022755,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d76,40.0,0.002284395508468151,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d100,0.0,0.0012768481392413378,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d100,-20.0,0.0018449032213538885,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
